Date,Close/Last,Volume,Open,High,Low
4/13/2022,1022.37,18373740.00,981.08,1026.24,973.10
4/12/2022,986.95,21992030.00,997.64,1021.19,976.60
4/11/2022,975.93,19785740.00,980.40,1008.47,974.64
4/8/2022,1025.49,18337900.00,1043.21,1048.44,1022.44
4/7/2022,1057.26,26482350.00,1052.39,1076.59,1021.54
4/6/2022,1045.76,29782850.00,1073.47,1079.00,1027.70
4/5/2022,1091.26,26691670.00,1136.30,1152.87,1087.30
4/4/2022,1145.45,27392570.00,1089.38,1149.91,1072.53
4/1/2022,1084.59,18087740.00,1081.15,1094.75,1066.64
3/31/2022,1077.60,16330920.00,1094.57,1103.14,1076.64
3/30/2022,1093.99,19955000.00,1091.17,1113.95,1084.00
3/29/2022,1099.57,24538270.00,1107.99,1114.77,1073.11
3/28/2022,1091.84,34168690.00,1065.10,1097.88,1053.60
3/25/2022,1010.64,20677180.00,1008.00,1021.80,997.32
3/24/2022,1013.92,22973630.00,1009.73,1024.49,988.80
3/23/2022,999.11,40225380.00,979.94,1040.70,976.40
3/22/2022,993.98,35289520.00,930.00,997.86,921.75
3/21/2022,921.16,27327220.00,914.98,942.85,907.09
3/18/2022,905.39,33471400.00,874.49,907.85,867.39
3/17/2022,871.60,22194320.00,830.99,875.00,825.72
3/16/2022,840.23,28009610.00,809.00,842.00,802.26
3/15/2022,801.89,22280380.00,775.27,805.57,756.57
3/14/2022,766.37,23717420.00,780.61,800.70,756.04
